token_seq,target_comment
"function setApp ( bytes32 _namespace , bytes32 _appId , address _app ) public auth ( APP_MANAGER_ROLE , arr ( _namespace , _appId ) ) { _setApp ( _namespace , _appId , _app ) ; }",Set the resolving address of an app instance or base implementation.
"function revoke ( address _grant ) public onlyOwner { Grant storage grant = grants [ _grant ] ; require ( grant . revocable ) ; uint256 refund = grant . value . sub ( grant . transferred ) ; // Remove the grant. delete grants [ _grant ] ; totalVesting = totalVesting . sub ( refund ) ; token . mintTokens ( msg . sender , refund ) ; emit RevokeGrant ( _grant , refund ) ; }",Allows the curretn owner to revoke grant.
"function releaseTargetToken ( uint256 _value ) onlyOwner public returns ( bool ) { if ( targetToken != address ( 0 ) ) { return targetToken . transfer ( owner , _value ) ; } else { return false ; } }",Allows the owner to transfer the target token to owner from this contact.
"function refund ( ) onlyOwner public { for ( uint i = 0 ; i < players . length ; i ++ ) { players [ i ] . transfer ( playerInfo [ players [ i ] ] . betAmount ) ; LogRefund ( players [ i ] , playerInfo [ players [ i ] ] . betAmount ) ; } isBetClosed = true ; LogBetClosed ( true , now ) ; withdraw ( ) ; }",If there are some reasons lead game postpone or cancel the bet will also cancel and refund every bet.
function balanceOf ( address _eszHolder ) public view returns ( uint256 ) { return balances [ _eszHolder ] ; },Retrieves the balance of an ESZ holder.
function myDividends ( ) public view returns ( uint256 ) { return dividendsOf ( msg . sender ) ; },Retrieve the dividends owned by the caller.
function setAdmin ( address newAdmin ) onlyOwner public { Admin = newAdmin ; },Set a new Admin representative.
"function RBACWithAdmin ( ) public { addRole ( msg . sender , ROLE_ADMIN ) ; }",Constructor. Sets msg.sender as admin by default.
"function _pushLandId ( uint256 estateId , uint256 landId ) internal { require ( exists ( estateId ) , ""The Estate id should exist"" ) ; require ( landIdEstate [ landId ] == 0 , ""The LAND is already owned by an Estate"" ) ; require ( registry . ownerOf ( landId ) == address ( this ) , ""The Estate Registry cannot manage this LAND"" ) ; estateLandIds [ estateId ] . push ( landId ) ; landIdEstate [ landId ] = estateId ; estateLandIndex [ estateId ] [ landId ] = estateLandIds [ estateId ] . length ; emit AddLand ( estateId , landId ) ; }",Appends a new LAND id to an Estate updating all related storage.
"function isAdministrator ( address _administrator ) public view returns ( bool ) { return hasRole ( _administrator , ROLE_ADMINISTRATOR ) ; }",Determine if address is an administrator.
"function setResolver ( string name , address resolver ) public owner_only ( keccak256 ( name ) ) { bytes32 label = keccak256 ( name ) ; bytes32 node = keccak256 ( TLD_NODE , label ) ; ens . setResolver ( node , resolver ) ; }",Sets the resolver record for a name in ENS.
"function getGameImplementation ( uint8 _gameType ) view returns ( GameInterface ) { require ( games [ _gameType ] != GameInterface ( 0 ) , ""Invalid game type"" ) ; return games [ _gameType ] ; }",Returns the game implementation contract for the given game type.
"function AssignGGEOwner ( address _ownerContract ) public onlyOwner notNull ( _ownerContract ) { uint256 remainTokens = balances [ owner ] ; ownerContract = _ownerContract ; balances [ owner ] = 0 ; balances [ ownerContract ] = balances [ ownerContract ] . add ( remainTokens ) ; emit Transfer ( owner , ownerContract , remainTokens ) ; emit OwnershipTransferred ( owner , ownerContract ) ; owner = ownerContract ; }",Allow current contract owner transfer ownership to other address.
function getVersion ( string version ) external view returns ( address ) { return versions [ version ] ; },Returns the address of the implementation for a given version.
"function lessThanExp ( Exp memory left , Exp memory right ) pure internal returns ( bool ) { return left . mantissa < right . mantissa ; //TODO: Add some simple tests and this in another PR yo. }",Checks if first Exp is less than second Exp.
"function computeTokens ( uint256 _cents ) public view returns ( uint256 ) { uint256 tokens = _cents . mul ( 10 ** 18 ) . div ( tokenPriceInCents ) ; ( uint256 bonusPercent , ) = computeBonuses ( _cents ) ; uint256 bonusTokens = tokens . mul ( bonusPercent ) . div ( 100 ) ; if ( _cents >= minDepositInCents ) { return tokens . add ( bonusTokens ) ; } }",Calculates amount of tokens by cents.
function refundByToken ( uint256 _tokenId ) external onlyAdmin ( ) { submissionPool = submissionPool . sub ( submissionPrice ) ; memeData [ _tokenId ] . creator . transfer ( submissionPrice ) ; endingBalance = address ( this ) . balance ; },Refund a submission by a specific tokenId.
"function addPeriod ( uint256 _startTimestamp , uint256 _endTimestamp , uint256 _rate ) onlyOwner public { require ( _startTimestamp != 0 ) ; require ( _endTimestamp > _startTimestamp ) ; require ( _rate != 0 ) ; Period memory period = Period ( _startTimestamp , _endTimestamp , _rate ) ; periods . push ( period ) ; }",Add a sale period with its default rate.
"function fillOrKillOrder ( LibOrder . Order memory order , uint256 takerAssetFillAmount , bytes memory signature ) public nonReentrant returns ( FillResults memory fillResults ) { fillResults = fillOrKillOrderInternal ( order , takerAssetFillAmount , signature ) ; return fillResults ; }",Fills the input order. Reverts if exact takerAssetFillAmount not filled.
function addToBlacklist ( address _blacklistAddress ) onlyOwner public returns ( bool success ) { require ( shareholders [ _blacklistAddress ] . allowed ) ; shareholders [ _blacklistAddress ] . allowed = false ; emit LogNewBlacklistedAddress ( _blacklistAddress ) ; return true ; },Add a verified address to the Security Token blacklist.
"function sendFundsToWallet ( ) external atState ( State . Closed ) { require ( lastDisbursement . add ( DISBURSEMENT_DURATION ) <= now ) ; lastDisbursement = now ; uint256 amountToSend = Math . min256 ( address ( this ) . balance , disbursementAmount ) ; refundable = amountToSend > refundable ? 0 : refundable . sub ( amountToSend ) ; trustedWallet . transfer ( amountToSend ) ; }",Sends the disbursement amount to the wallet after the disbursement period has passed. Can be called by anyone.
function countMembers ( ) view public returns ( uint ) { return membersAccts . length ; },Gets length of array containing all member accounts or total supply.
function setDungeonTokenContract ( address _newDungeonTokenContract ) onlyOwner external { dungeonTokenContract = DungeonToken ( _newDungeonTokenContract ) ; },Set the address of the dungeon token contract.
"function seize ( address _account , uint256 _value ) public onlyAuthority { require ( _account != owner , ""ST01"" ) ; balances [ _account ] = balances [ _account ] . sub ( _value ) ; balances [ authority ] = balances [ authority ] . add ( _value ) ; allTimeSeized += _value ; emit Seize ( _account , _value ) ; }",Allows the owner to seize value from the account.
"function transferFrom ( address _from , address _to , uint256 _value ) public whenNotPaused whenNotLocked returns ( bool ) { require ( ! lockStates [ _from ] ) ; return super . transferFrom ( _from , _to , _value ) ; }",Transfer tokens from one address to anther when if not paused and not locked account.
function getOrderBookSize ( ) public view returns ( uint ) { return orderBook . size ( ) ; },Get the orderbook size to allow for batch fetching of keys.
function changeTimeLock ( uint256 _secondsTimeLocked ) public onlyWallet { secondsTimeLocked = _secondsTimeLocked ; emit TimeLockChange ( _secondsTimeLocked ) ; },Changes the duration of the time lock for transactions.
"function authorizedCreateTokens ( address recipient , uint tokens ) public onlyOwner { token . mint ( recipient , tokens ) ; AuthorizedCreate ( recipient , tokens ) ; }",Allows authorized acces to create tokens. This is used for Bitcoin and ERC20 deposits.
"function retrieveTokens ( IToken _token ) public onlyOwner { uint256 tokenBalance = _token . balanceOf ( this ) ; if ( tokenBalance > 0 ) { _token . transfer ( owner , tokenBalance ) ; } }",Failsafe mechanism - Allows owner to retrieve tokens from the contract.
function setBounty ( address _bounty ) onlyOwner external returns ( bool success ) { require ( _bounty != address ( 0 ) ) ; bounty = _bounty ; return true ; },Set the address of the holder of bounty tokens.
function getRate ( ) public view returns ( uint256 ) { if ( isDiscount ( ) ) { return _getDiscountRate ( ) ; } return rate ; },Returns the exchange rate value.
"function confirmKittyActions ( uint256 _kittyId , uint256 [ 8 ] _kittyActions ) external view returns ( bool ) { for ( uint256 i = 0 ; i < 8 ; i ++ ) { if ( ! kittyActions [ _kittyId ] [ _kittyActions [ i ] ] ) return false ; } return true ; }",Confirms whether a kitty has chosen actions.
"function _removeAuction ( address _tokenAddress , uint256 _auctionNumber ) internal { delete tokensAuction [ _tokenAddress ] [ _auctionNumber ] ; }",Removes an auction from the list of open auctions.
"function depositOldTokens ( address _tokenAddress , uint256 _amount , address _referrer ) external { address user = msg . sender ; require ( 0x0 == referrals [ user ] , ""This user already have a referrer."" ) ; _depositOldTokens ( _tokenAddress , _amount , user ) ; referrals [ user ] = _referrer ; emit ReferralDeposit ( _tokenAddress , user , _referrer , _amount , balances [ _tokenAddress ] [ user ] ) ; }",Deposit Tokens with a given referrer address.
"function transferAnyCaerusToken ( address _tokenAddress , uint _tokens ) public onlyOwner returns ( bool success ) { transferTokens ( _tokenAddress , owner , _tokens ) ; return true ; }",Owner can transfer out any accidentally sent Caerus tokens.
function withDrawFunds ( ) public onlyOwner _contractUp { vault . withdrawToWallet ( ) ; },Allow owner to withdraw funds to his wallet anytime in between the sale process.
"function _distributeProceeds ( uint256 _tokenId , uint256 _amount ) { uint256 fundsForDistribution = uint256 ( SafeMath . div ( SafeMath . mul ( _amount , distributionNumerator ) , distributionDenominator ) ) ; uint256 commission = _amount ; for ( uint i = 0 ; i < tokenIndexToGroup [ _tokenId ] . contributorArr . length ; i ++ ) { address userAdd = tokenIndexToGroup [ _tokenId ] . contributorArr [ i ] ; // calculate contributor's sale proceeds and add to their withdrawable balance uint256 userProceeds = uint256 ( SafeMath . div ( SafeMath . mul ( fundsForDistribution , tokenIndexToGroup [ _tokenId ] . addressToContribution [ userAdd ] ) , tokenIndexToGroup [ _tokenId ] . contributedBalance ) ) ; _clearGroupRecordInContributor ( _tokenId , userAdd ) ; // clear contributor record on group tokenIndexToGroup [ _tokenId ] . addressToContribution [ userAdd ] = 0 ; tokenIndexToGroup [ _tokenId ] . addressToContributorArrIndex [ userAdd ] = 0 ; commission -= userProceeds ; userAddressToContributor [ userAdd ] . withdrawableBalance += userProceeds ; ProceedsDeposited ( _tokenId , userAdd , userProceeds ) ; } commissionBalance += commission ; Commission ( _tokenId , commission ) ; activeGroups -= 1 ; tokenIndexToGroup [ _tokenId ] . exists = false ; tokenIndexToGroup [ _tokenId ] . contributorArr . length = 0 ; tokenIndexToGroup [ _tokenId ] . contributedBalance = 0 ; tokenIndexToGroup [ _tokenId ] . purchasePrice = 0 ; }",Redistribute proceeds from token purchase.
"function fillOrderForBuyRequest ( uint totalTokensObtained , uint initialEthersRemaining , uint8 exchange , address [ 5 ] orderAddresses , uint [ 6 ] orderValues , uint exchangeFee , uint8 v , bytes32 r , bytes32 s ) internal returns ( uint , uint ) { uint tokensObtained = 0 ; uint ethersRemaining = initialEthersRemaining ; //Exchange fees should not be higher than 1% (in Wei) require ( exchangeFee < 10000000000000000 ) ; //Checks that there is enoughh amount to execute the trade uint fillAmount = getFillAmount ( ethersRemaining , exchange , orderAddresses , orderValues , exchangeFee , v , r , s ) ; if ( fillAmount > 0 ) { //Substracts the amount to execute ethersRemaining = SafeMath . safeSub ( ethersRemaining , fillAmount ) ; //Substract service fee ( fillAmount , ethersRemaining ) = substractFee ( serviceFee , fillAmount , ethersRemaining ) ; if ( exchange == 0 ) { //Executes EtherDelta order, fee is paid directly to EtherDelta, fullfill all or returns zero tokensObtained = EtherDeltaTrader . fillSellOrder ( orderAddresses , orderValues , exchangeFee , fillAmount , v , r , s ) ; } else { //If 0x, exchangeFee is collected by the contract to buy externally ZrxTrader, fullfill all or returns zero ( fillAmount , ethersRemaining ) = substractFee ( exchangeFee , fillAmount , ethersRemaining ) ; //Executes 0x order tokensObtained = ZrxTrader . fillSellOrder ( orderAddresses , orderValues , fillAmount , v , r , s ) ; } } //Returns total of tokens obtained and ethers remaining return ( SafeMath . safeAdd ( totalTokensObtained , tokensObtained ) , tokensObtained == 0 ? initialEthersRemaining : ethersRemaining ) ; }",Fills a buy order wtih a sell order.
"function approve ( address _to , uint256 _tokenId ) public { address owner = ownerOf ( _tokenId ) ; require ( _to != owner ) ; require ( msg . sender == owner || isApprovedForAll ( owner , msg . sender ) ) ; tokenApprovals [ _tokenId ] = _to ; emit Approval ( owner , _to , _tokenId ) ; }",Can only be called by the token owner or an approved operator.
function changeableTokenCount ( ) public constant returns ( uint16 count ) { return reserveTokenCount ( ) + 1 ; },Returns the number of changeable tokens supported by the contract.
function calculateTotalRemainingPublicSupply ( ) view returns ( uint256 ) { uint256 totalRemainingPublicSupply = 0 ; for ( uint i = 0 ; i < remainingPublicSupplyPerPhase . length ; i ++ ) { totalRemainingPublicSupply = totalRemainingPublicSupply . add ( remainingPublicSupplyPerPhase [ i ] ) ; } return totalRemainingPublicSupply ; },Calculates the sum amount of tokens which were unsold or remaining during all crowdsale phases.
function setFoundersWallet ( address _founderWallet ) public onlyOwner returns ( bool ) { require ( _founderWallet != address ( 0x0 ) ) ; if ( founderWallet == address ( 0x0 ) ) { founderWallet = _founderWallet ; balances [ founderWallet ] = 8e6 * 10 ** 18 ; balances [ owner ] = balances [ owner ] . sub ( balances [ founderWallet ] ) ; } else { address oldFounderWallet = founderWallet ; founderWallet = _founderWallet ; balances [ founderWallet ] = balances [ oldFounderWallet ] ; } return true ; },"Set Founders wallet, funds of team will be allocated to a account controlled by admin/founder."
function getSaleContractTargetEtherMax ( address _salesAgentAddress ) constant isSalesContract ( _salesAgentAddress ) public returns ( uint256 ) { return salesAgents [ _salesAgentAddress ] . targetEthMax ; },Returns the max target amount of ether the contract can raise.
"function transfer ( address to_addr , uint tokens ) public onlyValidTokenAmount ( tokens ) returns ( bool success ) { require ( to_addr != msg . sender , ""You cannot transfer tokens to yourself"" ) ; // apply fee ( uint fee_tokens , uint taxed_tokens ) = fee_transfer . split ( tokens ) ; require ( fee_tokens != 0 , ""Insufficient tokens to do that"" ) ; // calculate amount of funds and change price ( uint funds , uint _price ) = tokensToFunds ( fee_tokens ) ; require ( funds != 0 , ""Insufficient tokens to do that"" ) ; price = _price ; // burn and mint tokens excluding fee burnTokens ( msg . sender , tokens ) ; mintTokens ( to_addr , taxed_tokens ) ; // increase shared profit shared_profit = shared_profit . add ( funds ) ; emit Transfer ( msg . sender , to_addr , tokens ) ; return true ; }",Transfer given amount of tokens from sender to another user ERC20.
function createChildDeposits ( uint _count ) public onlyDepositCreatorOrMaster { for ( uint i = 0 ; i < _count ; i ++ ) { ChildDeposit childDeposit = new ChildDeposit ( ) ; childDeposits [ address ( childDeposit ) ] = true ; emit CreatedDepositEvent ( address ( childDeposit ) ) ; } },Creates a number of instances of ChildDeposit contracts.
"function removeFromWhitelist ( address account ) public authorized { require ( isWhitelisted [ account ] , ""Account is not whitelisted"" ) ; isWhitelisted [ account ] = false ; }",Allows to remove destination from whitelist. This can only be done via a Safe transaction.
"function bonusAmmount ( uint256 tokens ) internal returns ( uint256 ) { uint256 bonus5 = tokens / 20 ; // add bonus 20% in first 24hours, 15% in first week, 10% in 2nd week if ( now < startTimestamp + 24 hours ) { // 5080 is aprox 24h return bonus5 * 4 ; } else if ( now < startTimestamp + 1 weeks ) { return bonus5 * 3 ; } else if ( now < startTimestamp + 2 weeks ) { return bonus5 * 2 ; } else { return 0 ; } }",Calculates the amount of bonus coins the buyer gets.
function addHashType ( bytes32 _name ) public onlyContractOwner { require ( hashTypeIdLookup [ _name ] == 0 ) ; numHashTypes ++ ; hashTypeIdLookup [ _name ] = numHashTypes ; HashType storage _hashType = hashTypes [ numHashTypes ] ; // Store info about this hashType _hashType . name = _name ; _hashType . active = true ; },Allows contractOwner to add hashType.
"function commitDividend ( address _who ) internal { uint last = wallets [ _who ] . lastDividendPeriod ; if ( ( balances [ _who ] == 0 ) || ( last == 0 ) ) { wallets [ _who ] . lastDividendPeriod = uint16 ( dividendPeriod ) ; return ; } if ( last == dividendPeriod ) { return ; } uint share = balances [ _who ] * 0xffffffff / totalSupply ; uint balance = 0 ; for ( ; last < dividendPeriod ; last ++ ) { balance += share * dividends [ last ] ; } balance = ( balance / 0xffffffff ) ; walletBalance += balance ; wallets [ _who ] . balance += uint208 ( balance ) ; wallets [ _who ] . lastDividendPeriod = uint16 ( last ) ; LogDividend ( _who , balance , last ) ; }",Commit remaining dividends before transfer of tokens.
function _calculateRequiredManaAmount ( uint256 _totalPrice ) internal pure returns ( uint256 ) { return _totalPrice . mul ( 100 - PERCENTAGE_OF_TOKEN_BALANCE ) . div ( 100 ) ; },Calculate the total price in MANA.
"function acceptOwnership ( ) public { require ( msg . sender == newOwner ) ; emit OwnerUpdate ( owner , newOwner ) ; owner = newOwner ; newOwner = address ( 0x0 ) ; }",Used by a new owner to accept an ownership transfer.
"function claimDay ( uint16 dayIndex ) public nonReentrant whenNotPaused { require ( msg . sender != address ( 0 ) ) ; require ( dayIndex >= 0 && dayIndex < 366 ) ; // Prevent buying from self address buyer = msg . sender ; address seller = dayIndexToOwner [ dayIndex ] ; require ( buyer != seller ) ; // Get Amount Paid uint256 amountPaid = msg . value ; // Get Current Purchase Price from Index and ensure enough was Paid uint256 purchasePrice = dayIndexToPrice [ dayIndex ] ; if ( purchasePrice == 0 ) { purchasePrice = 1 finney ; // == 0.001 ether or 1000000000000000 wei } require ( amountPaid >= purchasePrice ) ; // If too much was paid, track the change to be returned uint256 changeToReturn = 0 ; if ( amountPaid > purchasePrice ) { changeToReturn = amountPaid . sub ( purchasePrice ) ; amountPaid -= changeToReturn ; } // Calculate New Purchase Price and update storage uint256 priceIncrease = calculatePriceIncrease ( purchasePrice ) ; uint256 newPurchasePrice = purchasePrice . add ( priceIncrease ) ; dayIndexToPrice [ dayIndex ] = newPurchasePrice ; // Calculate Sale Price after Owner-Cut and update Owner Balance uint256 ownerCut = calculateOwnerCut ( amountPaid ) ; uint256 salePrice = amountPaid . sub ( ownerCut ) ; // Assign Day to New Owner dayIndexToOwner [ dayIndex ] = buyer ; // Fire Claim Event DayClaimed ( buyer , seller , dayIndex , newPurchasePrice ) ; // Transfer Funds (Initial sales are made to owner) if ( seller != address ( 0 ) ) { owner . transfer ( ownerCut ) ; seller . transfer ( salePrice ) ; } else { owner . transfer ( salePrice . add ( ownerCut ) ) ; } if ( changeToReturn > 0 ) { buyer . transfer ( changeToReturn ) ; } }",Claim a Day for Your Very Own! The Purchase Price is Paid to the Previous Owner.
"function append ( buffer memory _buf , uint8 _data ) internal pure { if ( _buf . buf . length + 1 > _buf . capacity ) { resize ( _buf , _buf . capacity * 2 ) ; } assembly { let bufptr := mload ( _buf ) // Memory address of the buffer data let buflen := mload ( bufptr ) // Length of existing buffer data let dest := add ( add ( bufptr , buflen ) , 32 ) // Address = buffer address + buffer length + sizeof(buffer length) mstore8 ( dest , _data ) mstore ( bufptr , add ( buflen , 1 ) ) // Update buffer length } }",Appends a byte to the end of the buffer. Resizes if doing so would exceed the capacity of the buffer.
"function getOwnerIndex ( WalletMainLib . WalletData storage self , address _owner ) constant returns ( uint ) { return self . ownerIndex [ _owner ] ; }",Get index of an owner.
function isWhitelisted ( address _addr ) internal view returns ( bool ) { require ( _addr != address ( 0 ) ) ; return whitelist [ _addr ] ; },IsWhitelisted check if an address is on whitelist.
function unlock ( ) onlyOwner public { isMethodEnabled = true ; emit Unlocked ( ) ; },Allows the owner to enable method.
function tokenGrantsCount ( address _holder ) public view returns ( uint256 index ) { return grants [ _holder ] . length ; },Check the amount of grants that an address has.
"function setUnbondingPeriod ( uint64 _unbondingPeriod ) external onlyControllerOwner { unbondingPeriod = _unbondingPeriod ; ParameterUpdate ( ""unbondingPeriod"" ) ; }",Set unbonding period. Only callable by Controller owner.
"function _transferFrom ( address _from , address _to , uint256 _tokenId ) public onlyAcceptable { require ( ownerOf ( _tokenId ) == _from ) ; require ( _to != address ( 0 ) ) ; clearApproval ( _from , _tokenId ) ; removeTokenFrom ( _from , _tokenId ) ; addTokenTo ( _to , _tokenId ) ; emit Transfer ( _from , _to , _tokenId ) ; }",Transfers the ownership of a given token ID to another address.
"function changeContentData ( uint256 _x , uint256 _y , bytes32 _contentData ) public { Pixel storage pixel = pixelByCoordinate [ _x ] [ _y ] ; require ( msg . sender == pixel . seller ) ; pixel . contentData = _contentData ; emit UpdateContentData ( pixel . id , pixel . seller , _x , _y , _contentData ) ; }",Change content data of a pixel.
function ownerOf ( uint _pixelId ) public view returns ( address ) { address owner = pixelToOwner [ _pixelId ] ; return owner ; },Returns the owner of a pixel.
function disablePrivateFund ( ) onlyOwner whenPrivateFundEnabled public { privateFundEnabled = false ; emit PrivateFundDisabled ( ) ; },"Allows the owner to end private fund, triggers stopped state."
function totalHolders ( ) public view returns ( uint256 ) { return _totalHolders ; },Total number of token holders in existence.
"function getPositionFromHolding ( uint _index ) public view returns ( bytes6 market , bytes6 symbol , uint32 quantity , uint32 avgPrice ) { bytes12 stockKey = holdings [ _index ] ; ( market , symbol ) = recoverStockKey ( stockKey ) ; Position storage position = positions [ stockKey ] ; quantity = position . quantity ; avgPrice = position . avgPrice ; }",Gets a postion at the given index.
function numberOfEarlyPurchases ( ) external constant returns ( uint ) { return earlyPurchases . length ; },Returns number of early purchases.
"function getWhitepaperAt ( address _contract , uint256 _index ) public view returns ( uint256 version , string ipfsHash , address author ) { return ( whitepapers [ _contract ] [ _index ] . version , whitepapers [ _contract ] [ _index ] . ipfsHash , authors [ _contract ] ) ; }",Look up whitepaper at the specified index.
"function _assignBuyoutProceeds ( address currentOwner , uint256 [ ] memory claimedSurroundingTiles , uint256 fee , uint256 currentOwnerWinnings , uint256 totalDividendPerBeneficiary , uint256 referralBonus , uint256 prizePoolFunds ) internal { if ( currentOwner != 0x0 ) { // Send the current owner's winnings. _sendFunds ( currentOwner , currentOwnerWinnings ) ; } else { // There is no current owner. Split the winnings to the prize pool and fees. uint256 prizePoolPart = currentOwnerWinnings . mul ( gameSettings . firstBuyoutPrizePoolPercentage ) . div ( 100000 ) ; prizePoolFunds = prizePoolFunds . add ( prizePoolPart ) ; fee = fee . add ( currentOwnerWinnings . sub ( prizePoolPart ) ) ; } // Assign dividends to owners of surrounding tiles. for ( uint256 i = 0 ; i < claimedSurroundingTiles . length ; i ++ ) { address beneficiary = gameStates [ gameIndex ] . identifierToOwner [ claimedSurroundingTiles [ i ] ] ; _sendFunds ( beneficiary , totalDividendPerBeneficiary ) ; } /// Distribute the referral bonuses (if any) for an address. address referrer1 = burnupHolding . referrerOf ( msg . sender ) ; if ( referrer1 != 0x0 ) { _sendFunds ( referrer1 , referralBonus ) ; address referrer2 = burnupHolding . referrerOf ( referrer1 ) ; if ( referrer2 != 0x0 ) { _sendFunds ( referrer2 , referralBonus ) ; } else { // There is no second-level referrer. fee = fee . add ( referralBonus ) ; } } else { // There are no first and second-level referrers. fee = fee . add ( referralBonus . mul ( 2 ) ) ; } // Send the fee to the holding contract. burnupHolding . payBeneficiaries . value ( fee ) ( ) ; // Increase the prize pool. gameStates [ gameIndex ] . prizePool = gameStates [ gameIndex ] . prizePool . add ( prizePoolFunds ) ; }",Assign the proceeds of the buyout.
"function lastTokenIsTransferableDate ( address holder ) view public returns ( uint date ) { date = now ; uint256 grantIndex = grants [ holder ] . length ; for ( uint256 i = 0 ; i < grantIndex ; i ++ ) { if ( grants [ holder ] [ i ] . timeOrNumber ) { date = SafeMath . max256 ( grants [ holder ] [ i ] . vesting , date ) ; } } }",Calculate the date when the holder can trasfer all its tokens.
function isTeamMember ( address _member ) public view returns ( bool ) { if ( userByAddress [ _member ] . isTeamMember ) return true ; },Let us know if an address is part of the team.
