token_seq,target_comment
function setEthPriceInDollar ( uint _ethPriceInCents ) onlyOwner public returns ( bool ) { ethPrice = _ethPriceInCents ; return true ; },Sets the value of ether price in cents.Can be called only by the owner account.
"function updateRate ( uint256 _rate ) onlyOwner public returns ( bool ) { require ( _rate != 0 ) ; RateUpdated ( rate , _rate ) ; rate = _rate ; return true ; }",Update token mint rate per eth.
"function createContractScientist ( string _name ) public onlyCEO { require ( periodicTableExists == true ) ; // to start from 1001 scientistCTR = SafeMath . add ( scientistCTR , 1 ) ; uint256 _id = SafeMath . add ( scientistCTR , scientistSTART ) ; _createElement ( _id , _name , address ( this ) , scientistStartingPrice , scientistSTART ) ; }",Creates a new Scientist with the given name Id.
"function getIndexFromOdd ( uint32 _odd , uint32 [ ] _odds ) internal pure returns ( uint ) { uint256 low = 0 ; uint256 high = _odds . length . sub ( 1 ) ; while ( low < high ) { uint256 mid = ( low . add ( high ) ) / 2 ; if ( _odd >= _odds [ mid ] ) { low = mid . add ( 1 ) ; } else { high = mid ; } } return low ; }",Uses binary search to find the index of the off given.
"function setAllocation ( address _recipient , uint256 _totalAllocated ) public onlyOwnerOrAdmin { require ( _recipient != address ( 0 ) ) ; require ( startTime > now ) ; //Allocations are allowed only before starTime require ( AVAILABLE_PRESALE_SUPPLY >= _totalAllocated ) ; //Current allocation must be less than remaining presale supply require ( allocations [ _recipient ] . totalAllocated == 0 && _totalAllocated > 0 ) ; // Must be the first and only allocation for this recipient require ( _recipient != companyWallet ) ; // Receipient of presale allocation can't be company wallet // Allocate AVAILABLE_PRESALE_SUPPLY = AVAILABLE_PRESALE_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . PRESALE ) , startTime . add ( CLIFF ) , startTime . add ( CLIFF ) . add ( VESTING ) , _totalAllocated , 0 ) ; AVAILABLE_TOTAL_SUPPLY = AVAILABLE_TOTAL_SUPPLY . sub ( _totalAllocated ) ; LogNewAllocation ( _recipient , AllocationType . PRESALE , _totalAllocated , grandTotalAllocated ( ) ) ; }",Allow the owner or admins of the contract to assign a new allocation.
function removeFromKyc ( address _beneficiary ) external onlyInx { kyc [ _beneficiary ] = false ; },Removes single address from kyc.
function setContactInformation ( string info ) onlyOwner public { contactInformation = info ; },Allows the owner to set a string with their contact information.
function _isOnAuction ( Auction storage _auction ) internal view returns ( bool ) { return ( _auction . price > 0 ) ; },Returns true if the NFT is on auction.
"function setAllocation ( address _recipient , uint256 _totalAllocated , AllocationType _supply ) onlyOwner public { require ( allocations [ _recipient ] . totalAllocated == 0 && _totalAllocated > 0 ) ; require ( _supply >= AllocationType . PRESALE && _supply <= AllocationType . BONUS3 ) ; require ( _recipient != address ( 0 ) ) ; if ( _supply == AllocationType . PRESALE ) { AVAILABLE_PRESALE_SUPPLY = AVAILABLE_PRESALE_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . PRESALE ) , 0 , 0 , _totalAllocated , 0 ) ; } else if ( _supply == AllocationType . FOUNDER ) { AVAILABLE_FOUNDER_SUPPLY = AVAILABLE_FOUNDER_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . FOUNDER ) , startTime + 1 years , startTime + 3 years , _totalAllocated , 0 ) ; } else if ( _supply == AllocationType . ADVISOR ) { AVAILABLE_ADVISOR_SUPPLY = AVAILABLE_ADVISOR_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . ADVISOR ) , startTime + 209 days , 0 , _totalAllocated , 0 ) ; } else if ( _supply == AllocationType . RESERVE ) { AVAILABLE_RESERVE_SUPPLY = AVAILABLE_RESERVE_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . RESERVE ) , startTime + 100 days , startTime + 4 years , _totalAllocated , 0 ) ; } else if ( _supply == AllocationType . BONUS1 ) { AVAILABLE_BONUS1_SUPPLY = AVAILABLE_BONUS1_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . BONUS1 ) , startTime + 1 years , startTime + 1 years , _totalAllocated , 0 ) ; } else if ( _supply == AllocationType . BONUS2 ) { AVAILABLE_BONUS2_SUPPLY = AVAILABLE_BONUS2_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . BONUS2 ) , startTime + 2 years , startTime + 2 years , _totalAllocated , 0 ) ; } else if ( _supply == AllocationType . BONUS3 ) { AVAILABLE_BONUS3_SUPPLY = AVAILABLE_BONUS3_SUPPLY . sub ( _totalAllocated ) ; allocations [ _recipient ] = Allocation ( uint8 ( AllocationType . BONUS3 ) , startTime + 3 years , startTime + 3 years , _totalAllocated , 0 ) ; } AVAILABLE_TOTAL_SUPPLY = AVAILABLE_TOTAL_SUPPLY . sub ( _totalAllocated ) ; LogNewAllocation ( _recipient , _supply , _totalAllocated , grandTotalAllocated ( ) ) ; }",Allow the owner of the contract to assign a new allocation.
function setExchangeRate ( uint256 newExchangeRate ) onlyOwner public returns ( bool ) { require ( newExchangeRate > 0 ) ; exchangeRate = newExchangeRate ; UpdatedExchangeRate ( newExchangeRate ) ; return true ; },Allows the owner to set a new rate.
function getMigrationCount ( ) external view returns ( uint256 ) { return migrations . length ; },Returns current stored migration count.
"function changeBaseURIAll ( string _newBaseURI ) public onlyModerators { _baseURI = _newBaseURI ; for ( uint a = 0 ; a < totalTokens ; a ++ ) { uint tokenId = tokenByIndex ( a ) ; _setTokenURI ( tokenId , addToString ( _newBaseURI , uint2str ( tokenId ) ) ) ; } }",Changes the tokenURI of all minted items + the _baseURI value.
"function setTotalIndividualWeiAmount ( address _beneficiary , uint256 _totalWeiAmount ) external onlyOwner { totalIndividualWeiAmount [ _beneficiary ] = _totalWeiAmount ; }",Set total individual wei amount.
"function recordPurchase ( address purchaser , uint256 rawAmount , uint256 timestamp ) internal returns ( uint256 amount ) { amount = rawAmount ; // amount to check reach of max cap. it does not care for bonus tokens here // presale transfers which occurs before the crowdsale ignores the crowdsale hard cap if ( block . number >= purchaseStartBlock ) { require ( totalAmountOfCrowdsalePurchasesWithoutBonus ( ) < maxCrowdsaleCap ) ; // check if the amount has already reached the cap uint256 crowdsaleTotalAmountAfterPurchase = SafeMath . add ( totalAmountOfCrowdsalePurchasesWithoutBonus ( ) , amount ) ; // check whether purchase goes over the cap and send the difference back to the purchaser. if ( crowdsaleTotalAmountAfterPurchase > maxCrowdsaleCap ) { uint256 difference = SafeMath . sub ( crowdsaleTotalAmountAfterPurchase , maxCrowdsaleCap ) ; uint256 ethValueToReturn = SafeMath . mul ( difference , 1e18 ) / cnyEthRate ; purchaser . transfer ( ethValueToReturn ) ; amount = SafeMath . sub ( amount , difference ) ; rawAmount = amount ; } } amount = getBonusAmountCalculation ( amount ) ; // at this point amount bonus is calculated CrowdsalePurchase memory purchase = CrowdsalePurchase ( purchaser , amount , rawAmount , timestamp ) ; crowdsalePurchases . push ( purchase ) ; StarbasePurchasedWithEth ( msg . sender , amount , rawAmount , cnyEthRate ) ; crowdsalePurchaseAmountBy [ purchaser ] = SafeMath . add ( crowdsalePurchaseAmountBy [ purchaser ] , amount ) ; return amount ; }",Abstract record of a purchase to Tokens.
"function substractFee ( uint feePercentage , uint amount ) constant internal returns ( uint , uint ) { uint fee = getPartialAmount ( amount , 1 ether , feePercentage ) ; return ( SafeMath . safeSub ( amount , fee ) , fee ) ; }",Subtracts the take fee from EtherDelta.
function removeFromWhitelist ( address _beneficiary ) public onlyBy ( kycAdmin ) { whitelist [ _beneficiary ] = false ; emit RemoveFromWhitelist ( _beneficiary ) ; },Removes single address from whitelist.
function setTokenNAVMicroUSD ( uint256 _price ) external onlyBy ( navAdmin ) { tokenNAVMicroUSD = _price ; },Sets the token price in US$. Set by owner to reflect NAV/token.
"function getOrder ( uint _key ) public view returns ( ORDER_TYPE , address , uint , uint ) { uint order = orderBook . get ( _key ) ; return ( ORDER_TYPE ( order >> 254 ) , addressRegistry [ ( order << 2 ) >> 224 ] , ( order << 34 ) >> 145 , ( order << 145 ) >> 145 ) ; }",Get a single order by its key.
"function unlockVestedTokens ( ) external { Grant storage grant = grants [ msg . sender ] ; // Require that there will be funds left in grant to tranfser to holder. require ( grant . value != 0 ) ; // Get the total amount of vested tokens, acccording to grant. uint vested = calculateVestedTokens ( grant , now ) ; if ( vested == 0 ) { return ; } // Make sure the holder doesn't transfer more than what he already has. uint transferable = vested . sub ( grant . transferred ) ; if ( transferable == 0 ) { return ; } // Update transferred and total vesting amount, then transfer remaining vested funds to holder. grant . transferred = grant . transferred . add ( transferable ) ; totalVesting = totalVesting . sub ( transferable ) ; token . transfer ( msg . sender , transferable ) ; emit TokensUnlocked ( msg . sender , transferable ) ; }",Unlock vested tokens and transfer them to their holder.
"function addFillResults ( FillResults memory totalFillResults , FillResults memory singleFillResults ) internal pure { totalFillResults . makerAssetFilledAmount = SafeMath . add ( totalFillResults . makerAssetFilledAmount , singleFillResults . makerAssetFilledAmount ) ; totalFillResults . takerAssetFilledAmount = SafeMath . add ( totalFillResults . takerAssetFilledAmount , singleFillResults . takerAssetFilledAmount ) ; totalFillResults . makerFeePaid = SafeMath . add ( totalFillResults . makerFeePaid , singleFillResults . makerFeePaid ) ; totalFillResults . takerFeePaid = SafeMath . add ( totalFillResults . takerFeePaid , singleFillResults . takerFeePaid ) ; }",Adds properties of both FillResults instances. Modifies the first FillResults instance specified.
"function createContractCity ( string _name , string _country ) public onlyCOO { _createCity ( _name , _country , address ( this ) , startingPrice ) ; }",Creates a new City with the given name and country.
"function changeProxyAdmin ( AdminUpgradeabilityProxy proxy , address newAdmin ) public onlyOwner { proxy . changeAdmin ( newAdmin ) ; }",Changes the admin of a proxy.
function validUserId ( address _address ) public view returns ( uint256 ) { if ( isAddressValid ( _address ) ) { return walletOwners [ _address ] . userId ; } return 0 ; },The userId associated to the provided address if the user is valid.
function _removeAuction ( uint256 _axieId ) internal { delete auctions [ _axieId ] ; },Removes an auction from the list of open auctions.
function setHardcap ( uint256 _hardcap ) external onlyOwner { hardcap = _hardcap ; },Allows the owner to set the hardcap.
function calculateTokens ( uint256 _amount ) public constant returns ( uint256 tokens ) { tokens = _amount * ethRate / tokenPrice ; return tokens ; },Calculates the number of tokens that can be bought for the amount of Wei transferred.
function updateBaseTokenURI ( string _uri ) external onlyOwner { dataSource . updateTokenBaseURI ( _uri ) ; emit TokenBaseURIChanged ( _uri ) ; },Update the base URI of token asset.
function getCurrentTranche ( uint256 weiRaised ) constant returns ( Tranche ) { uint i ; for ( i = 0 ; i < tranches . length ; i ++ ) { if ( weiRaised < tranches [ i ] . amount ) { return tranches [ i - 1 ] ; } } },Get the current tranche or bail out if we are not in the tranche periods.
function setRate ( uint256 rate ) onlyOwner { RATE = rate ; },Allows owner to change the rate Tokens per 1 Ether.
function closeWindow ( uint8 _winNum ) onlyOwner stopInEmergency public { require ( ww [ _winNum ] . active ) ; ww [ _winNum ] . active = false ; wallet . transfer ( this . balance ) ; },Close Window and transfer Eth to wallet address.
function closeCrowdsale ( ) public onlyOwner afterEnd { require ( ! unsoldTokenIssued ) ; if ( totalEthReceived >= SOFT_CAP ) { saleEndAtBlock = block . number ; issueUnsoldToken ( ) ; SaleSucceeded ( ) ; } else { SaleFailed ( ) ; } },Close the crowdsale and issue unsold tokens to `owner` address.
function setPrimaryManager ( address _newGM ) external onlyManager { require ( _newGM != address ( 0 ) ) ; managerPrimary = _newGM ; },Assigns a new address to act as the Primary Manager.
"function addRdShareholder ( uint256 _indexNo , address _addr ) internal { rdShareholder memory rdPly = rdShareholder ( 0 , 0 , 0 , 0 , 0 , 0 ) ; rdShareholders [ _indexNo ] [ _addr ] = rdPly ; rdInfos [ _indexNo ] . shareholderNum ++ ; if ( ! checkUserInUnWithdrawRd ( _indexNo , _addr ) ) userUnWithdrawRound [ _addr ] . push ( _indexNo ) ; }",Add new shareholder into game round.
function withdrawInvestment ( ) public { require ( hasClosed ( ) ) ; super . withdrawInvestment ( ) ; },Unverified investors can withdraw their money only after the VREO Sale ended.
function disableTransmit ( ) public onlyOwner { require ( transmitStatus ) ; transmitStatus = false ; TransmitDisabled ( ) ; },Disable Transmit functionality for Owner.
"function startAuction ( bytes32 _hash ) public registryOpen ( ) { Mode mode = state ( _hash ) ; if ( mode == Mode . Auction ) return ; require ( mode == Mode . Open ) ; Entry storage newAuction = _entries [ _hash ] ; newAuction . registrationDate = now + totalAuctionLength ; newAuction . value = 0 ; newAuction . highestBid = 0 ; emit AuctionStarted ( _hash , newAuction . registrationDate ) ; }",Start an auction for an available hash.
"function play ( address _referral , uint256 _gtaBet ) public { address player = msg . sender ; uint256 weiAmount = msg . value ; require ( player != address ( 0 ) , ""Player's address is missing"" ) ; require ( weiAmount >= MIN_PLAY_AMOUNT , ""The bet is too low"" ) ; require ( _gtaBet <= balanceOf ( player ) , ""Player's got not enough GTA"" ) ; uint256 _bet = aggregateBet ( weiAmount , _gtaBet ) ; playInternal ( player , weiAmount , _bet , _referral , _gtaBet ) ; }",Player starts a new play providing.
"function addHash ( string _IPFSHash , uint _ttl ) public onlyValidMembers { HashAdded ( msg . sender , _IPFSHash , _ttl ) ; }",Add hash to persistent storage.
function renterOf ( uint16 _blockId ) public view returns ( address ) { require ( isRented ( _blockId ) ) ; return blockIdToRentDeal [ _blockId ] . renter ; },Gets renter of a block. Throws if not rented.
"function setRate ( uint256 _rate ) public ifAuthorized ( msg . sender , APHRODITE ) { require ( _rate > 0 ) ; rate = _rate ; }","Set the rate, i.e. how many units per wei do we give."
"function addReserve ( IERC20Token _token , uint8 _ratio , bool _enableVirtualBalance ) public ownerOnly inactive validAddress ( _token ) notThis ( _token ) validReserveRatio ( _ratio ) { require ( _token != address ( token ) && ! reserves [ _token ] . isSet && totalReserveRatio + _ratio <= 100 ) ; // validate input reserves [ _token ] . virtualBalance = 0 ; reserves [ _token ] . ratio = _ratio ; reserves [ _token ] . isVirtualBalanceEnabled = _enableVirtualBalance ; reserves [ _token ] . isPurchaseEnabled = true ; reserves [ _token ] . isSet = true ; reserveTokens . push ( _token ) ; totalReserveRatio += _ratio ; }",Defines a new reserve for the token can only be called by the token owner while the changer is inactive.
"function adminUpdateWhiteList ( address _address , bool _value ) public isAdmin { whiteList [ _address ] = _value ; }",Update WhiteList for an address.
"function getAuctionInfo ( uint40 _cutieId ) public view returns ( address seller , uint128 startPrice , uint128 endPrice , uint40 duration , uint40 startedAt , uint128 featuringFee ) { Auction storage auction = cutieIdToAuction [ _cutieId ] ; require ( _isOnAuction ( auction ) ) ; return ( auction . seller , auction . startPrice , auction . endPrice , auction . duration , auction . startedAt , auction . featuringFee ) ; }",Returns auction info for a token on auction.
"function updateGenVault ( uint256 _pID , uint256 _rIDlast ) { uint256 _earnings = calcUnMaskedEarnings ( _pID , _rIDlast ) ; if ( _earnings > 0 ) { // put in gen vault plyr_ [ _pID ] . gen = _earnings . add ( plyr_ [ _pID ] . gen ) ; // zero out their earnings by updating mask plyrRnds_ [ _pID ] [ _rIDlast ] . mask = _earnings . add ( plyrRnds_ [ _pID ] [ _rIDlast ] . mask ) ; } }",Moves any unmasked earnings to gen vault. updates earnings mask.
function setMinimumBuyValue ( uint newValue ) public onlyOwner { minimum_buy_value = newValue ; },Sets new minimum buy value for a transaction. Only the owner can call it.
"function getPublicKey ( address provider ) public view returns ( uint256 ) { return db . getNumber ( keccak256 ( abi . encodePacked ( ""oracles"" , provider , ""publicKey"" ) ) ) ; }",Get public key of provider.
function setSecondaryManager ( address _newGM ) external onlyManager { require ( _newGM != address ( 0 ) ) ; managerSecondary = _newGM ; },Assigns a new address to act as the Secondary Manager.
function setAdmin ( address _newAdmin ) external onlyOwner { admin = _newAdmin ; },Restricted to AccountRegistry owner and new admin address cannot be 0x0.
function getOutcomeTokenDistribution ( address owner ) public view returns ( uint [ ] outcomeTokenDistribution ) { outcomeTokenDistribution = new uint [ ] ( outcomeTokens . length ) ; for ( uint8 i = 0 ; i < outcomeTokenDistribution . length ; i ++ ) outcomeTokenDistribution [ i ] = outcomeTokens [ i ] . balanceOf ( owner ) ; },Returns the amount of outcome tokens held by owner.
"function grantAccess ( address _user , uint8 _transaction ) public canAccess ( 1 ) { require ( _user != address ( 0 ) ) ; accessRights [ _user ] [ _transaction ] = true ; accessGranted ( _user , _transaction ) ; }",Provides access to a determined transaction.
function ownsPlayerTokens ( uint32 _teamId ) public view returns ( bool ) { Team storage _team = teamIdToTeam [ _teamId ] ; require ( _team . owner != address ( 0 ) ) ; return _team . ownsPlayerTokens ; },Returns whether or not this team owns the player tokens it references in the playerTokenIds property.
function setDiscountBonus ( uint256 _discountBonus ) public { require ( administrator == msg . sender ) ; MINI_GAME_BONUS = _discountBonus ; },Set discount bonus for game require is administrator.
"function setBuyPrice ( uint256 newBuyPrice ) onlyOwner public { require ( newBuyPrice > 0 ) ; _originalBuyPrice = newBuyPrice ; // 3000 GTO = 3000 00000 unit // control _maximumBuy_USD = 10,000 USD, GTO price is 0.1USD // maximumBuy_Gifto = 100,000 GTO = 100,000,00000 unit // 3000 GTO = 1ETH => maximumETH = 100,000,00000 / _originalBuyPrice // 100,000,00000/3000 0000 ~ 33ETH => change to wei _maximumBuy = 10 ** 18 * 10000000000 / _originalBuyPrice ; }",Updates buy price (owner ONLY).
"function migrateBalance ( address _tokenHolder ) onlyOwner public returns ( bool ) { if ( migrated [ _tokenHolder ] ) { return false ; // Already migrated, therefore do nothing. } uint256 balance = legacySycContract . balanceOf ( _tokenHolder ) ; if ( balance == 0 ) { return false ; // Has no balance in legacy contract, therefore do nothing. } // Copy balance migrated [ _tokenHolder ] = true ; sycContract . transfer ( _tokenHolder , balance ) ; migratedSupply = migratedSupply . add ( balance ) ; emit Migrate ( _tokenHolder , balance ) ; return true ; }",Copies the balance of a given address from the legacy contract.
"function getDealByNumber ( uint _dealNumber ) constant public returns ( address buyer , address sender , address agency , uint sum , uint atCreated , statuses status , uint objectType ) { uint deal = dealNumbers [ _dealNumber ] ; return ( deals [ deal ] . buyer , deals [ deal ] . seller , deals [ deal ] . signer , deals [ deal ] . sum , deals [ deal ] . atCreated , deals [ deal ] . status , deals [ deal ] . objectType ) ; }",Get main data of deal by _dealNumber.
function _isContract ( address _address ) internal constant returns ( bool ) { uint256 length ; assembly { length := extcodesize ( _address ) } return ( length > 0 ) ; },Check if the given address is a contract address.
"function _owns ( address _claimant , uint _tokenId ) internal view returns ( bool ) { return tokenIdToOwner [ _tokenId ] == _claimant ; }",Checks if a given address is the current owner of a particular token.
"function approve ( address _to , uint256 _tokenId ) public { address owner = tokenOwner [ _tokenId ] ; tokenApprovals [ _tokenId ] = _to ; require ( _to != ownerOf ( _tokenId ) ) ; require ( msg . sender == owner || isApprovedForAll ( owner , msg . sender ) ) ; tokenApprovals [ _tokenId ] = _to ; emit Approval ( owner , _to , _tokenId ) ; }",Can only be called by the token owner or an approved operator.
"function setAndFixTokenPriceInWei ( uint256 newTokenPriceInWei ) external checkAccess ( ) { require ( msg . sender == m_owner || msg . sender == m_priceSetter ) ; m_isFixedTokenPrice = true ; m_tokenPriceInWei = newTokenPriceInWei ; PriceChanged ( msg . sender , m_tokenPriceInWei , m_isFixedTokenPrice ) ; }",Set price of one token in wei and fix it.
"function isOwner ( address _address ) public view returns ( bool ) { return rocketStorage . getBool ( keccak256 ( ""access.role"" , ""owner"" , _address ) ) ; }",Check if an address is an owner.
"function tokensLocked ( address _of , bytes32 _reason ) public view returns ( uint256 amount ) { if ( ! locked [ _of ] [ _reason ] . claimed ) amount = locked [ _of ] [ _reason ] . amount ; }",Returns tokens locked for a specified address for a specified reason.
function cityPrice ( ) view public returns ( uint256 ) { return CITY_START_PRICE . add ( ( citiesSold . div ( 10 ) . mul ( CITY_INCREASE_RATE ) ) ) ; },Returns the current price of a city. Price raises every 10 purchases.
"function setNewReleasePeriod ( address _target , uint256 _origEndTime , uint256 _duration ) public returns ( bool ) { require ( _target != address ( 0 ) ) ; require ( _origEndTime > 0 && _duration > 0 ) ; uint256 len = frozenAccounts . length ; uint256 i = 0 ; while ( i < len ) { address frozenAddr = frozenAccounts [ i ] ; if ( frozenAddr == _target ) { uint256 timeRecLen = frozenTimes [ frozenAddr ] . length ; uint256 j = 0 ; while ( j < timeRecLen ) { TimeRec storage timePair = frozenTimes [ frozenAddr ] [ j ] ; if ( _origEndTime == timePair . endTime ) { timePair . releasePeriodEndTime = _origEndTime . add ( _duration ) ; return true ; } j = j . add ( 1 ) ; } return false ; } i = i . add ( 1 ) ; } return false ; }",Set the new released period length of an account.
"function smma ( uint256 _prePrice , uint256 _price ) internal returns ( uint256 ) { return ( _prePrice * ( smmaPeriod - 1 ) + _price ) / smmaPeriod ; }",SMMA filter with function: SMMA(i) = (SMMA(i-1) (n-1) + PRICE(i)) / n.
function setRegistry ( IContractRegistry _registry ) public ownerOnly { registry = _registry ; },Allows the owner to update the contract registry contract address.
"function purchase ( uint256 _stockId , uint256 _shareId ) public { require ( _stockId < stocks . length && _shareId < shares . length ) ; // look up the assets Stock storage stock = stocks [ _stockId ] ; uint256 [ ] storage sharesForStock = stockShares [ _stockId ] ; Share storage share = shares [ sharesForStock [ _shareId ] ] ; // look up the share's current holder address previousHolder = share . holder ; // determine the current price for the share uint256 currentPrice = getPurchasePrice ( share . purchasePrice , stock . priceIncrease ) ; require ( msg . value >= currentPrice ) ; // return any excess payment if ( msg . value > currentPrice ) { msg . sender . transfer ( SafeMath . sub ( msg . value , currentPrice ) ) ; } // calculate dividend holders' shares uint256 dividendPerRecipient = getDividendPayout ( currentPrice , stock . dividendAmount , sharesForStock . length - 1 ) ; // calculate the previous owner's share uint256 previousHolderShare = SafeMath . sub ( currentPrice , SafeMath . mul ( dividendPerRecipient , sharesForStock . length - 1 ) ) ; // calculate the transaction fee - 1/40 = 2.5% fee uint256 fee = SafeMath . div ( previousHolderShare , 40 ) ; owner . transfer ( fee ) ; // payout the previous shareholder previousHolder . transfer ( SafeMath . sub ( previousHolderShare , fee ) ) ; // payout the dividends for ( uint8 i = 0 ; i < sharesForStock . length ; i ++ ) { if ( i != _shareId ) { shares [ sharesForStock [ i ] ] . holder . transfer ( dividendPerRecipient ) ; stock . dividendsPaid = SafeMath . add ( stock . dividendsPaid , dividendPerRecipient ) ; DividendPaid ( shares [ sharesForStock [ i ] ] . holder , dividendPerRecipient ) ; } } ShareSold ( _stockId , _shareId , share . purchasePrice , currentPrice , share . holder , msg . sender ) ; // update share information share . holder = msg . sender ; share . purchasePrice = currentPrice ; stock . lastAction = block . timestamp ; }",Purchase a share from its current owner.
function lock ( address _address ) onlyOwner public { lockWorker ( _address ) ; },Allows the owner to lock the ability for an address to make transfers.
function getStartDate ( ) public view returns ( uint32 ) { uint32 startDate = getNextDate ( uint32 ( now ) ) ; uint32 lastRegisterDate = getLastRegisterDate ( ) ; if ( startDate <= lastRegisterDate ) { startDate = getNextDate ( lastRegisterDate ) ; } return startDate ; },Get next valid start date. Tomorrow or the next non-registered date is the next start date.
function isCrowdsaleFull ( ) public constant returns ( bool ) { if ( tokensSold >= SoftCap ) { return true ; } return false ; },Check if SoftCap was reached.
"function confirmSettingsChange ( uint _txIndex ) public ownerExists ( msg . sender ) returns ( bool success ) { require ( settingsRequests [ _txIndex ] . executed == false ) ; settingsRequests [ _txIndex ] . confirmations [ msg . sender ] = true ; if ( isConfirmedSettingsRequest ( _txIndex ) ) { SettingsRequest storage request = settingsRequests [ _txIndex ] ; request . executed = true ; IToken ( token ) . executeSettingsChange ( request . amount , request . partInvestor , request . partProject , request . partFounders , request . blocksPerStage , request . partInvestorIncreasePerStage , request . maxStages ) ; return true ; } else { return false ; } }",Allows an owner to confirm a change settings request.
"function getFreezeUntilDetails ( ) constant public returns ( uint256 frozenUntilBlock , string notice ) { return ( tokenFrozenUntilBlock , tokenFrozenUntilNotice ) ; }",Returns when will the token become operational again and why it was frozen.
